ID PUMA,PUMA,ID Year,Year,Total Population,Slug PUMA,
79500US1703417,"Hanover & Schaumburg (Northwest) Townships PUMA, IL",2018,2018,122588,hanover-schaumburg-northwest-townships-puma-il,
79500US1703418,"Schaumburg Township (South & Central) PUMA, IL",2018,2018,109442,schaumburg-township-south-central-puma-il,
79500US1703419,"Elk Grove & Wheeling (Southwest) Townships PUMA, IL",2018,2018,121636,elk-grove-wheeling-southwest-townships-puma-il,
79500US1703420,"Maine, Norwood Park Townships & Chicago CityEdison Park PUMA, IL",2018,2018,187642,maine-norwood-park-townships-chicago-cityedison-park-puma-il,
79500US1703421,"Niles & Evanston Townships PUMA, IL",2018,2018,180639,niles-evanston-townships-puma-il,
79500US1703422,"Leyden, Norwood Park (South) Townships & Chicago CityO'Hare PUMA, IL",2018,2018,129065,leyden-norwood-park-south-townships-chicago-cityohare-puma-il,
79500US1703501,"Edgewater, Uptown & Rogers Park PUMA, IL",2018,2018,170662,edgewater-uptown-rogers-park-puma-il,
79500US1703502,"Lake View & Lincoln Park PUMA, IL",2018,2018,169130,lake-view-lincoln-park-puma-il,
79500US1703503,"West Ridge, Lincoln Square & North Center PUMA, IL",2018,2018,154625,west-ridge-lincoln-square-north-center-puma-il,
79500US1703504,"Irving Park, Albany Park, Forest Glen & North Park PUMA, IL",2018,2018,141581,irving-park-albany-park-forest-glen-north-park-puma-il,
79500US1703520,"Portage Park, Dunning & Jefferson Park PUMA, IL",2018,2018,137044,portage-park-dunning-jefferson-park-puma-il,
79500US1703521,"Austin, Belmont Cragin & Montclare PUMA, IL",2018,2018,189185,austin-belmont-cragin-montclare-puma-il,
79500US1703522,"Logan Square, Avondale & Hermosa PUMA, IL",2018,2018,135108,logan-square-avondale-hermosa-puma-il,
79500US1703523,"North & South Lawndale, Humboldt Park, East & West Garfield Park PUMA, IL",2018,2018,201443,north-south-lawndale-humboldt-park-east-west-garfield-park-puma-il,
79500US1703524,"West Town, Near West Side & Lower West Side PUMA, IL",2018,2018,178719,west-town-near-west-side-lower-west-side-puma-il,
79500US1703525,"Near North Side, Loop & Near South Side PUMA, IL",2018,2018,152226,near-north-side-loop-near-south-side-puma-il,
79500US1703526,"Brighton Park, New City, Bridgeport & McKinley Park PUMA, IL",2018,2018,161166,brighton-park-new-city-bridgeport-mckinley-park-puma-il,
79500US1703527,"Gage Park, Garfield Ridge & West Lawn PUMA, IL",2018,2018,153010,gage-park-garfield-ridge-west-lawn-puma-il,
79500US1703528,"Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing PUMA, IL",2018,2018,134734,chicago-lawn-englewoodwest-englewood-greater-grand-crossing-puma-il,
79500US1703529,"South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas PUMA, IL",2018,2018,184552,south-shore-hyde-park-woodlawn-grand-boulevard-douglas-puma-il,
79500US1703530,"Ashburn, Washington Heights, Morgan Park & Beverly PUMA, IL",2018,2018,132969,ashburn-washington-heights-morgan-park-beverly-puma-il,
79500US1703531,"Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA, IL",2018,2018,129057,auburn-gresham-roseland-chatham-avalon-park-burnside-puma-il,
79500US1703532,"South Chicago, Pullman, West Pullman, East Side & South Deering PUMA, IL",2018,2018,131639,south-chicago-pullman-west-pullman-east-side-south-deering-puma-il,
79500US1703601,"McHenry County (North, West & Central) PUMA, IL",2018,2018,135779,mchenry-county-north-west-central-puma-il,
79500US1703602,"Algonquin, McHenry & Nunda Townships PUMA, IL",2018,2018,172015,algonquin-mchenry-nunda-townships-puma-il,
79500US1703700,"Kendall & Grundy Counties PUMA, IL",2018,2018,175156,kendall-grundy-counties-puma-il,
79500US1800101,"Hammond & East Chicago Cities PUMA, IN",2018,2018,110315,hammond-east-chicago-cities-puma-in,
79500US1800102,"Gary City & Griffith Town PUMA, IN",2018,2018,125341,gary-city-griffith-town-puma-in,
79500US1800103,"Lake County (Central) PUMA, IN",2018,2018,115901,lake-county-central-puma-in,
79500US1800104,"Lake County (South) PUMA, IN",2018,2018,135246,lake-county-south-puma-in,
79500US1800200,"Porter County PUMA, IN",2018,2018,167911,porter-county-puma-in,
79500US1800300,"LaPorte County PUMA, IN",2018,2018,110418,laporte-county-puma-in,
79500US1800401,"South Bend City PUMA, IN",2018,2018,114976,south-bend-city-puma-in,
79500US1800402,"Mishawaka City PUMA, IN",2018,2018,153852,mishawaka-city-puma-in,
79500US1800500,"Elkhart & Goshen Cities PUMA, IN",2018,2018,203581,elkhart-goshen-cities-puma-in,
79500US1800600,"Noble, DeKalb, LaGrange & Steuben Counties PUMA, IN",2018,2018,163536,noble-dekalb-lagrange-steuben-counties-puma-in,
79500US1800700,"Jasper, Starke, Fulton, Newton & Pulaski Counties PUMA, IN",2018,2018,103406,jasper-starke-fulton-newton-pulaski-counties-puma-in,
79500US1800800,"Kosciusko & Marshall Counties PUMA, IN",2018,2018,125584,kosciusko-marshall-counties-puma-in,
79500US1800900,"Huntington, Whitley, Adams & Wells Counties PUMA, IN",2018,2018,133158,huntington-whitley-adams-wells-counties-puma-in,
79500US1801001,"Fort Wayne City (South) PUMA, IN",2018,2018,133918,fort-wayne-city-south-puma-in,
79500US1801002,"Fort Wayne City (North) PUMA, IN",2018,2018,125094,fort-wayne-city-north-puma-in,
79500US1801003,"Allen County (Outside Fort Wayne City) PUMA, IN",2018,2018,110934,allen-county-outside-fort-wayne-city-puma-in,
